0,20,-800,0,0,0,1,1,1,20,20,20,-1
0,60,-1150,0,0,0,1,1,1,20,20,20,-1
50,80,-2000,0,0,0,1,1,1,20,20,20,-1
-50,80,-2000,0,0,0,1,1,1,20,20,20,-1
100,100,-2260,0,0,0,1,1,1,20,20,20,-1
-100,100,-2260,0,0,0,1,1,1,20,20,20,-1
200,100,-2560,0,0,0,1,1,1,20,20,20,-1
-200,100,-2560,0,0,0,1,1,1,20,20,20,-1
0,100,-2560,0,0,0,2,2,2,40,40,40,0
0,300,-3030,0,0,0,1,1,1,20,20,20,-1
310,300,-3080,0,4.71,0,1,1,1,20,20,20,-1
310,300,-2980,0,4.71,0,1,1,1,20,20,20,-1
310,300,-3030,0,4.71,0,1,1,1,20,20,20,-1
990,200,-3100,0,4.71,0,1,1,1,20,20,20,-1
990,320,-2960,0,4.71,0,1,1,1,20,20,20,-1
1555,320,-3030,0,4.71,0,1,1,1,20,20,20,-1
3480,340,-3230,0,4.71,0,1,1,1,20,20,20,-1
3480,340,-3430,0,4.71,0,1,1,1,20,20,20,-1
3480,340,-2830,0,4.71,0,1,1,1,20,20,20,-1
3480,340,-2630,0,4.71,0,1,1,1,20,20,20,-1
3480,340,-3030,0,4.71,0,2,2,2,40,40,40,1
3680,340,-3130,0,4.71,0,2,2,2,40,40,40,1
3680,340,-2930,0,4.71,0,2,2,2,40,40,40,1
3280,340,-3130,0,4.71,0,1,1,1,20,20,20,-1
3280,340,-2930,0,4.71,0,1,1,1,20,20,20,-1
